services,date,time,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method,booking_datetime,service_type_clean,source_clean,destination_clean,payment_method_clean,is_completed,is_cancelled,booking_date,hour,day_of_week,day_of_week_num,is_weekend,month,month_name,week_of_year,time_period,route,distance_bucket,duration_bucket,fare_bucket,fare_per_km
cab economy,2024-07-15,08:30:40.542646,completed,Balagere Harbor,Harohalli Nagar,39,RD3161218751875354,27.21,764.83,31.51,796.34,Amazon Pay,2024-07-15 08:30:40.542646,cab economy,balagere harbor,harohalli nagar,amazon pay,1,0,2024-07-15,8,Monday,0,False,7,July,29,Morning Peak,balagere harbor → harohalli nagar,Very Long (>15 km),Long (30–60 min),High Fare,29.266446159500184
auto,2024-07-05,23:36:51.542646,completed,Basavanagudi 3rd Block,Bikasipura 1st Stage,89,RD8171514284594096,34.03,314.83,49.52,364.35,Paytm,2024-07-05 23:36:51.542646,auto,basavanagudi 3rd block,bikasipura 1st stage,paytm,1,0,2024-07-05,23,Friday,4,False,7,July,27,Night,basavanagudi 3rd block → bikasipura 1st stage,Very Long (>15 km),Very Long (>60 min),Medium-Low Fare,10.706729356450191
auto,2024-07-23,11:05:37.542646,cancelled,Babusapalya Cove,Kothaguda Terrace,25,RD9376481122237926,20.24,,,,,2024-07-23 11:05:37.542646,auto,babusapalya cove,kothaguda terrace,,0,1,2024-07-23,11,Tuesday,1,False,7,July,30,Daytime,babusapalya cove → kothaguda terrace,Very Long (>15 km),Medium (15–30 min),,
cab economy,2024-06-24,08:45:10.542646,completed,Mahadevapura Mews,Kanakapura Arc,89,RD3676889143182765,31.17,484.73,15.84,500.57,QR scan,2024-06-24 08:45:10.542646,cab economy,mahadevapura mews,kanakapura arc,qr scan,1,0,2024-06-24,8,Monday,0,False,6,June,26,Morning Peak,mahadevapura mews → kanakapura arc,Very Long (>15 km),Very Long (>60 min),Medium-Low Fare,16.05935194096888
cab economy,2024-07-15,00:26:44.542646,completed,Ganganagar Cove,Basaveshwaranagar Colony,95,RD6639410275948084,27.21,663.5,14.13,677.63,Amazon Pay,2024-07-15 00:26:44.542646,cab economy,ganganagar cove,basaveshwaranagar colony,amazon pay,1,0,2024-07-15,0,Monday,0,False,7,July,29,Late Night,ganganagar cove → basaveshwaranagar colony,Very Long (>15 km),Very Long (>60 min),Medium-High Fare,24.903711870635796
auto,2024-07-02,01:28:29.542646,completed,HSR Layout Area,JP Nagar Viewpoint,18,RD5922205486441934,33.69,456.73,25.19,481.92,QR scan,2024-07-02 01:28:29.542646,auto,hsr layout area,jp nagar viewpoint,qr scan,1,0,2024-07-02,1,Tuesday,1,False,7,July,27,Late Night,hsr layout area → jp nagar viewpoint,Very Long (>15 km),Medium (15–30 min),Medium-Low Fare,14.304541406945683
cab economy,2024-07-23,20:55:28.542646,completed,Arekere Heights,Dooravani Nagar Pointe,85,RD9557099396888459,20.44,836.39,14.95,851.34,GPay,2024-07-23 20:55:28.542646,cab economy,arekere heights,dooravani nagar pointe,gpay,1,0,2024-07-23,20,Tuesday,1,False,7,July,30,Night,arekere heights → dooravani nagar pointe,Very Long (>15 km),Very Long (>60 min),High Fare,41.650684931506845
parcel,2024-07-18,13:38:33.542646,completed,Electronic City Village,Ganganagar Station,89,RD9473873953525644,35.31,724.76,31.34,756.1,QR scan,2024-07-18 13:38:33.542646,parcel,electronic city village,ganganagar station,qr scan,1,0,2024-07-18,13,Thursday,3,False,7,July,29,Daytime,electronic city village → ganganagar station,Very Long (>15 km),Very Long (>60 min),Medium-High Fare,21.413197394505804
parcel,2024-08-08,07:59:53.542646,completed,Mysore Road Lane,Billekahalli 6th Block,72,RD1285566012167240,45.99,641.55,21.48,663.03,Amazon Pay,2024-08-08 07:59:53.542646,parcel,mysore road lane,billekahalli 6th block,amazon pay,1,0,2024-08-08,7,Thursday,3,False,8,August,32,Morning Peak,mysore road lane → billekahalli 6th block,Very Long (>15 km),Very Long (>60 min),Medium-High Fare,14.416829745596868
bike lite,2024-07-10,12:30:07.542646,completed,Kundalahalli Alley,RT Nagar 5th Block,94,RD7238628094142076,44.43,571.5,47.63,619.13,QR scan,2024-07-10 12:30:07.542646,bike lite,kundalahalli alley,rt nagar 5th block,qr scan,1,0,2024-07-10,12,Wednesday,2,False,7,July,28,Daytime,kundalahalli alley → rt nagar 5th block,Very Long (>15 km),Very Long (>60 min),Medium-High Fare,13.934953860004502
auto,2024-08-03,16:57:14.542646,completed,Hosur Road Mews,Nagawara Layout,80,RD0988431403518514,5.25,356.07,33.18,389.25,QR scan,2024-08-03 16:57:14.542646,auto,hosur road mews,nagawara layout,qr scan,1,0,2024-08-03,16,Saturday,5,True,8,August,31,Evening Peak,hosur road mews → nagawara layout,Medium (3–7 km),Very Long (>60 min),Medium-Low Fare,74.14285714285714
cab economy,2024-07-08,17:46:15.542646,completed,Bikasipura Close,Kadugodi Park,42,RD1746298517733148,18.53,920.85,44.03,964.88,Paytm,2024-07-08 17:46:15.542646,cab economy,bikasipura close,kadugodi park,paytm,1,0,2024-07-08,17,Monday,0,False,7,July,28,Evening Peak,bikasipura close → kadugodi park,Very Long (>15 km),Long (30–60 min),High Fare,52.07123583378305
cab economy,2024-08-10,13:46:07.542646,completed,Mahadevapura Track,Whitefield Cut,68,RD7341504775683700,5.11,595.8,23.72,619.52,Paytm,2024-08-10 13:46:07.542646,cab economy,mahadevapura track,whitefield cut,paytm,1,0,2024-08-10,13,Saturday,5,True,8,August,32,Daytime,mahadevapura track → whitefield cut,Medium (3–7 km),Very Long (>60 min),Medium-High Fare,121.23679060665361
parcel,2024-08-15,22:59:04.542646,cancelled,Bhadrappa Layout Vista,Subramanyapura Road,82,RD0256680118366791,29.83,,,,,2024-08-15 22:59:04.542646,parcel,bhadrappa layout vista,subramanyapura road,,0,1,2024-08-15,22,Thursday,3,False,8,August,33,Night,bhadrappa layout vista → subramanyapura road,Very Long (>15 km),Very Long (>60 min),,
bike,2024-07-22,13:07:16.542646,cancelled,Frazer Town Works,Hebbal Kempapura Viewpoint,44,RD7115059402806582,49.92,,,,,2024-07-22 13:07:16.542646,bike,frazer town works,hebbal kempapura viewpoint,,0,1,2024-07-22,13,Monday,0,False,7,July,30,Daytime,frazer town works → hebbal kempapura viewpoint,Very Long (>15 km),Long (30–60 min),,
bike,2024-07-24,05:35:38.542646,completed,Nagawara Dam,Dommasandra Colony,42,RD2369646812729540,39.3,256.39,31.98,288.37,Paytm,2024-07-24 05:35:38.542646,bike,nagawara dam,dommasandra colony,paytm,1,0,2024-07-24,5,Wednesday,2,False,7,July,30,Late Night,nagawara dam → dommasandra colony,Very Long (>15 km),Long (30–60 min),Low Fare,7.337659033078881
bike,2024-07-26,18:53:03.542646,completed,Sonnenahalli Layout,Kothanur Loop,95,RD8047989809002405,21.39,62.83,23.51,86.34,Paytm,2024-07-26 18:53:03.542646,bike,sonnenahalli layout,kothanur loop,paytm,1,0,2024-07-26,18,Friday,4,False,7,July,30,Evening Peak,sonnenahalli layout → kothanur loop,Very Long (>15 km),Very Long (>60 min),Low Fare,4.036465638148668
auto,2024-06-28,22:55:08.542646,completed,Hulimavu Cutting,HRBR Layout Valley,37,RD3592571330485165,48.12,811.27,41.32,852.59,Amazon Pay,2024-06-28 22:55:08.542646,auto,hulimavu cutting,hrbr layout valley,amazon pay,1,0,2024-06-28,22,Friday,4,False,6,June,26,Night,hulimavu cutting → hrbr layout valley,Very Long (>15 km),Long (30–60 min),High Fare,17.71799667497922
auto,2024-08-08,11:59:04.542646,completed,Billekahalli Cove,Hennur Road 1st Block,42,RD8817673455871975,2.36,188.04,46.52,234.56,GPay,2024-08-08 11:59:04.542646,auto,billekahalli cove,hennur road 1st block,gpay,1,0,2024-08-08,11,Thursday,3,False,8,August,32,Daytime,billekahalli cove → hennur road 1st block,Short (≤3 km),Long (30–60 min),Low Fare,99.38983050847459
parcel,2024-08-08,00:57:02.542646,completed,Banaswadi District,Sadashiva Nagar Court,50,RD1385843052752492,37.5,473.87,13.24,487.11,Amazon Pay,2024-08-08 00:57:02.542646,parcel,banaswadi district,sadashiva nagar court,amazon pay,1,0,2024-08-08,0,Thursday,3,False,8,August,32,Late Night,banaswadi district → sadashiva nagar court,Very Long (>15 km),Long (30–60 min),Medium-Low Fare,12.989600000000001
parcel,2024-07-22,10:04:38.542646,completed,Hebbal Kempapura Ridge,Ramnagar 1st Stage,104,RD7208906531384606,3.04,617.35,33.34,650.69,Paytm,2024-07-22 10:04:38.542646,parcel,hebbal kempapura ridge,ramnagar 1st stage,paytm,1,0,2024-07-22,10,Monday,0,False,7,July,30,Daytime,hebbal kempapura ridge → ramnagar 1st stage,Medium (3–7 km),Very Long (>60 min),Medium-High Fare,214.04276315789474
